,Unnamed: 0,Unnamed: 0.1,time_point,area,aqi,quality,primary_pollutant,pm2_5,pm2_5_24h,pm10,pm10_24h,co,co_24h,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,so2,so2_24h,province
252,252,252,2017-06-16T17:00:00Z,甘孜藏族自治州,51.0,良,颗粒物(PM10),19.0,14.0,50.0,27.0,0.4,0.5,9.0,19.0,47.0,47.0,41.0,47.0,5.0,8.0,四川省
253,253,253,2018-09-07T09:00:00Z,白城,31.0,优,,17.0,16.0,30.0,25.0,0.25,0.3,6.0,9.0,48.0,77.0,39.0,54.0,5.0,4.0,吉林省
254,254,254,2018-09-07T09:00:00Z,白山,24.0,优,,10.0,11.0,21.0,27.0,0.65,0.85,8.0,14.0,54.0,78.0,46.0,64.0,6.0,7.0,吉林省
255,255,255,2018-09-07T09:00:00Z,白银,41.0,优,,14.0,13.0,39.0,46.0,1.3,0.6,25.0,17.0,49.0,84.0,42.0,42.0,122.0,24.0,甘肃省
256,256,256,2018-09-07T09:00:00Z,百色,30.0,优,,18.0,29.0,29.0,51.0,0.9,0.9,15.0,17.0,33.0,125.0,36.0,36.0,6.0,13.0,广西壮族自治区
257,257,257,2018-09-07T09:00:00Z,益阳,46.0,优,,19.0,18.0,45.0,35.0,0.86,0.92,16.0,11.0,42.0,106.0,52.0,60.0,9.0,8.0,湖南省
258,258,258,2018-09-07T09:00:00Z,盐城,58.0,良,颗粒物(PM10),28.0,35.0,64.0,57.0,0.74,0.84,18.0,19.0,70.0,125.0,76.0,85.0,10.0,11.0,江苏省
259,259,259,2018-09-07T09:00:00Z,盘锦,18.0,优,,4.0,12.0,17.0,25.0,0.4,0.5670000000000001,17.0,25.0,52.0,91.0,30.0,31.0,9.0,15.0,辽宁省
260,260,260,2018-09-07T09:00:00Z,眉山,34.0,优,,18.0,14.0,33.0,27.0,0.525,0.5,18.0,24.0,35.0,96.0,15.0,17.0,7.0,10.0,四川省
261,261,261,2018-09-07T09:00:00Z,石嘴山,33.0,优,,11.0,9.0,32.0,36.0,0.6,0.333,18.0,16.0,30.0,73.0,26.0,44.0,18.0,10.0,宁夏回族自治区
262,262,262,2018-09-07T09:00:00Z,石家庄,40.0,优,,18.0,17.0,39.0,56.0,0.413,0.275,22.0,17.0,40.0,95.0,38.0,47.0,11.0,8.0,河北省
263,263,263,2018-09-07T09:00:00Z,石河子,54.0,良,颗粒物(PM10),20.0,31.0,55.0,71.0,0.8,0.8,60.0,35.0,14.0,143.0,62.0,82.0,7.0,21.0,新疆维吾尔自治区
264,264,264,2018-09-07T09:00:00Z,福州,57.0,良,颗粒物(PM10),28.0,22.0,62.0,45.0,0.6,0.517,24.0,18.0,34.0,142.0,24.0,42.0,5.0,5.0,福建省
265,265,265,2018-09-07T09:00:00Z,秦皇岛,17.0,优,,6.0,12.0,16.0,33.0,0.32,0.42,20.0,26.0,48.0,116.0,33.0,44.0,8.0,12.0,河北省
266,266,266,2018-09-07T09:00:00Z,章丘,55.0,良,颗粒物(PM10),10.0,17.0,58.0,82.0,0.5,0.55,28.0,28.0,33.0,169.0,15.0,17.0,18.0,17.0,山东省
267,267,267,2018-09-07T09:00:00Z,红河州,25.0,优,,7.0,10.0,24.0,20.0,0.5,0.5,17.0,9.0,32.0,88.0,37.0,39.0,12.0,13.0,云南省
268,268,268,2018-09-07T09:00:00Z,绍兴,69.0,良,颗粒物(PM10),30.0,51.0,86.0,77.0,0.767,0.878,20.0,19.0,90.0,170.0,98.0,101.0,6.0,8.0,浙江省
269,269,269,2018-09-07T09:00:00Z,绥化,15.0,优,,10.0,12.0,9.0,15.0,0.35,0.4,4.0,5.0,35.0,37.0,26.0,28.0,5.0,5.0,黑龙江省
270,270,270,2018-09-07T09:00:00Z,绵阳,40.0,优,,22.0,28.0,39.0,48.0,0.55,0.675,17.0,32.0,39.0,108.0,25.0,28.0,5.0,6.0,四川省
271,271,271,2018-09-07T09:00:00Z,聊城,48.0,优,,9.0,13.0,47.0,77.0,0.5,0.433,25.0,23.0,47.0,174.0,40.0,54.0,9.0,9.0,山东省
272,272,272,2018-09-07T09:00:00Z,肇庆,34.0,优,,23.0,34.0,33.0,52.0,0.875,0.775,25.0,29.0,49.0,256.0,49.0,75.0,8.0,10.0,广东省
273,273,273,2018-09-07T09:00:00Z,胶南,58.0,良,颗粒物(PM10),20.0,27.0,63.0,69.0,0.75,0.6,33.0,27.0,54.0,201.0,46.0,70.0,12.0,9.0,山东省
274,274,274,2018-09-07T09:00:00Z,胶州,65.0,良,颗粒物(PM10),24.0,33.0,78.0,81.0,0.65,0.55,31.0,34.0,58.0,195.0,30.0,55.0,15.0,11.0,山东省
